"Service Operations for: "	Product Combination
""
"POST"	"/product-combination/activation"
"PUT"	"/product-combination/{sd-reference-id}/configuration"
"PUT"	"/product-combination/{sd-reference-id}/feedback"
""
"Put"	"/product-combination/{sd-identifier}/fulfillment/{crbq-identifier}/control"
""	1	"inout"	"Transfer Pricing Preconditions"	"BQ Transfer Pricing Instance Record"	String
""	2	"inout"	"Transfer Pricing Feature Schedule"	"BQ Transfer Pricing Instance Record"	String
""	3	"inout"	"Product Transfer Pricing"	"BQ Transfer Pricing Instance Record"	Business Service
""	4	"inout"	"Transfer Pricing Postconditions"	"BQ Transfer Pricing Instance Record"	String
""	5	"inout"	"Transfer Pricing Product Transfer Pricing Service Type"	"BQ Transfer Pricing Instance Record"	String
""	6	"inout"	"Transfer Pricing Product Transfer Pricing Service Description"	"BQ Transfer Pricing Instance Record"	String
""	7	"inout"	"Transfer Pricing Product Transfer Pricing Service Inputs and Ouputs"	"BQ Transfer Pricing Instance Record"	String
""	8	"inout"	"Transfer Pricing Product Transfer Pricing Service Work Product"	"BQ Transfer Pricing Instance Record"	String
""	9	"inout"	"Transfer Pricing Product Transfer Pricing Service Name"	"BQ Transfer Pricing Instance Record"	String
""
"Put"	"/product-combination/{sd-identifier}/product-combination-arrangement/{crbq-identifier}/update"
""	1	"inout"	"Product Combination Arrangement Parameter Type"	"CR Product Combination Arrangement Instance Record"	String
""	2	"inout"	"Product Combination Arrangement Selected Option"	"CR Product Combination Arrangement Instance Record"	String
""	3	"in"	"Product Combination Arrangement Type"	"CR Product Combination Arrangement Instance Record"	String
""	4	"in"	"Product Combination Arrangement Reference"	"CR Product Combination Arrangement Instance Record"	Object
""	5	"inout"	"Product Combination Arrangement Schedule"	"CR Product Combination Arrangement Instance Record"	String
""	6	"inout"	"Product Combination Arrangement Status"	"CR Product Combination Arrangement Instance Record"	String
""	7	"in"	"Product Combination Arrangement Currency"	"CR Product Combination Arrangement Instance Record"	CurrencyCode
""	8	"in"	"Product Combination Arrangement Regulation Reference"	"CR Product Combination Arrangement Instance Record"	Object
""	9	"in"	"Product Combination Arrangement Regulation Type"	"CR Product Combination Arrangement Instance Record"	String
""	10	"in"	"Product Combination Arrangement Jurisdiction"	"CR Product Combination Arrangement Instance Record"	String
""	11	"in"	"Product Combination Arrangement Booking Location"	"CR Product Combination Arrangement Instance Record"	String
""	12	"in"	"Product Combination Arrangement Account Type"	"CR Product Combination Arrangement Instance Record"	String
""	13	"in"	"Product Combination Arrangement Account Reference"	"CR Product Combination Arrangement Instance Record"	Object
